;ask;ask_size;bid;bid_size;price;quantity;time
0;64.6;35319;64.55;7400;64.65;10;2013-08-06 07:00:41.001000
1;64.6;35319;64.55;7400;64.65;203;2013-08-06 07:00:41.001000
2;64.6;35319;64.55;7400;64.65;150;2013-08-06 07:00:41.001000
3;64.6;35319;64.55;7400;64.65;18;2013-08-06 07:00:41.001000
4;64.6;35319;64.55;7400;64.65;20;2013-08-06 07:00:41.001000
5;64.6;35319;64.55;7400;64.65;90;2013-08-06 07:00:41.001000
6;64.6;35319;64.55;7400;64.65;19;2013-08-06 07:00:41.001000
7;64.6;35319;64.55;7400;64.65;420;2013-08-06 07:00:41.001000
8;64.6;35319;64.55;7400;64.65;500;2013-08-06 07:00:41.001000
9;64.6;35319;64.55;7400;64.65;300;2013-08-06 07:00:41.001000
10;64.6;35319;64.55;7400;64.65;6;2013-08-06 07:00:41.001000
11;64.6;35319;64.55;7400;64.65;170;2013-08-06 07:00:41.001000
12;64.6;35319;64.55;7400;64.65;78;2013-08-06 07:00:41.001000
13;64.6;35319;64.55;7400;64.65;127;2013-08-06 07:00:41.001000
14;64.6;35319;64.55;7400;64.65;355;2013-08-06 07:00:41.001000
15;64.6;35319;64.55;7400;64.65;230;2013-08-06 07:00:41.001000
16;64.6;35319;64.55;7400;64.65;53;2013-08-06 07:00:41.001000
17;64.6;35319;64.55;7400;64.65;600;2013-08-06 07:00:41.001000
18;64.6;35319;64.55;7400;64.65;747;2013-08-06 07:00:41.001000
19;64.6;35319;64.55;7400;64.65;150;2013-08-06 07:00:41.001000
20;64.6;35319;64.55;7400;64.65;800;2013-08-06 07:00:41.001000
21;64.6;35319;64.55;7400;64.65;950;2013-08-06 07:00:41.001000
22;64.6;35319;64.55;7400;64.65;240;2013-08-06 07:00:41.001000
23;64.6;35319;64.55;7400;64.65;230;2013-08-06 07:00:41.001000
24;64.6;35319;64.55;7400;64.65;3220;2013-08-06 07:00:41.001000
25;64.6;35319;64.55;7400;64.65;400;2013-08-06 07:00:41.001000
26;64.6;35319;64.55;7400;64.65;255;2013-08-06 07:00:41.001000
27;64.6;35319;64.55;7400;64.65;428;2013-08-06 07:00:41.001000
28;64.6;35319;64.55;7400;64.65;1124;2013-08-06 07:00:41.001000
29;64.6;35319;64.55;7400;64.65;494;2013-08-06 07:00:41.001000
30;64.6;35319;64.55;7400;64.65;70;2013-08-06 07:00:41.001000
31;64.6;35319;64.55;7400;64.65;325;2013-08-06 07:00:41.001000
32;64.6;35319;64.55;7400;64.65;924;2013-08-06 07:00:41.001000
33;64.6;35319;64.55;7400;64.65;576;2013-08-06 07:00:41.001000
34;64.6;35319;64.55;7400;64.65;216;2013-08-06 07:00:41.001000
35;64.6;35319;64.55;7400;64.65;8;2013-08-06 07:00:41.001000
36;64.6;35319;64.55;7400;64.65;212;2013-08-06 07:00:41.001000
37;64.6;35319;64.55;7400;64.65;168;2013-08-06 07:00:41.001000
38;64.6;35319;64.55;7400;64.65;885;2013-08-06 07:00:41.001000
39;64.6;35319;64.55;7400;64.65;37;2013-08-06 07:00:41.001000
40;64.6;35319;64.55;7400;64.65;978;2013-08-06 07:00:41.001000
41;64.6;35319;64.55;7400;64.65;119;2013-08-06 07:00:41.001000
42;64.6;35319;64.55;7400;64.65;131;2013-08-06 07:00:41.001000
43;64.6;35319;64.55;7400;64.65;500;2013-08-06 07:00:41.001000
44;64.6;35319;64.55;7400;64.65;10;2013-08-06 07:00:41.001000
45;64.6;35319;64.55;7400;64.65;5;2013-08-06 07:00:41.001000
46;64.6;35319;64.55;7400;64.65;24;2013-08-06 07:00:41.001000
47;64.6;35319;64.55;7400;64.65;100;2013-08-06 07:00:41.001000
48;64.6;35319;64.55;7400;64.65;281;2013-08-06 07:00:41.001000
49;64.6;35319;64.55;7400;64.65;1106;2013-08-06 07:00:41.001000
50;64.6;35319;64.55;7400;64.65;110;2013-08-06 07:00:41.001000
51;64.6;35319;64.55;7400;64.65;400;2013-08-06 07:00:41.001000
52;64.6;35319;64.55;7400;64.65;82;2013-08-06 07:00:41.001000
53;64.6;35319;64.55;7400;64.65;375;2013-08-06 07:00:41.001000
54;64.6;35319;64.55;7400;64.65;535;2013-08-06 07:00:41.001000
55;64.6;35319;64.55;7400;64.65;200;2013-08-06 07:00:41.001000
56;64.6;35319;64.55;7400;64.65;77;2013-08-06 07:00:41.001000
57;64.6;35319;64.55;7400;64.65;1250;2013-08-06 07:00:41.001000
